Datetime,Open,High,Low,Close,Volume,Supertrend,Final Lowerband,Final Upperband
2024-06-20 04:30:00+00:00,65133.75390625,65181.88671875,65133.75390625,65181.88671875,0,True,,
2024-06-20 04:35:00+00:00,65222.6640625,65222.6640625,65198.78515625,65205.4375,45056,True,,
2024-06-20 04:40:00+00:00,65214.16796875,65214.16796875,65189.546875,65189.546875,0,True,,
2024-06-20 04:45:00+00:00,65149.5234375,65179.8828125,65149.5234375,65179.8828125,0,True,,
2024-06-20 04:50:00+00:00,65214.91015625,65282.0703125,65214.91015625,65238.8046875,3514368,True,,
2024-06-20 04:55:00+00:00,65216.4296875,65274.99609375,65216.4296875,65274.99609375,8663040,True,,
2024-06-20 05:00:00+00:00,65263.4921875,65263.4921875,65231.0703125,65236.90234375,0,True,,
2024-06-20 05:05:00+00:00,65271.7109375,65306.2109375,65269.94140625,65306.2109375,21592064,True,,
2024-06-20 05:10:00+00:00,65303.62890625,65303.62890625,65268.31640625,65274.8046875,33859584,True,,
2024-06-20 05:15:00+00:00,65279.65625,65295.40234375,65267.3984375,65267.3984375,0,True,65232.53294771049,
2024-06-20 05:20:00+00:00,65262.66796875,65278.12890625,65262.453125,65277.40625,0,True,65232.53294771049,
2024-06-20 05:25:00+00:00,65292.55078125,65335.4921875,65292.55078125,65335.4921875,18393088,True,65268.03236518793,
2024-06-20 05:30:00+00:00,65326.39453125,65348.0703125,65326.39453125,65348.0703125,15847424,True,65294.50327862527,
2024-06-20 05:35:00+00:00,65344.66796875,65381.15625,65339.3515625,65371.6328125,11460608,True,65317.644630388975,
2024-06-20 05:40:00+00:00,65383.09765625,65399.12890625,65360.4140625,65360.4140625,21186560,True,65337.65262390517,
2024-06-20 05:45:00+00:00,65361.45703125,65402.57421875,65361.45703125,65391.2109375,23353344,True,65339.891695684884,
2024-06-20 05:50:00+00:00,65418.2421875,65456.08984375,65417.15625,65456.08984375,47337472,True,65391.76817573638,
2024-06-20 05:55:00+00:00,65516.00390625,65557.609375,65516.00390625,65557.609375,47300608,True,65485.28459659106,
2024-06-20 06:00:00+00:00,65495.62109375,65562.3828125,65485.984375,65557.3046875,14428160,True,65485.28459659106,
2024-06-20 06:05:00+00:00,65529.13671875,65529.13671875,65458.82421875,65499.10546875,52156416,True,65485.28459659106,
2024-06-20 06:10:00+00:00,65504.77734375,65583.0546875,65504.77734375,65583.0546875,50640896,True,65485.28459659106,
2024-06-20 06:15:00+00:00,65570.2890625,65570.2890625,65484.36328125,65504.49609375,35917824,True,65485.28459659106,
2024-06-20 06:20:00+00:00,65501.31640625,65501.31640625,65468.99609375,65468.99609375,33388544,False,,65548.00743771285
2024-06-20 06:25:00+00:00,65507.7890625,65507.7890625,65470.51171875,65484.95703125,4407296,False,,65548.00743771285
2024-06-20 06:30:00+00:00,65505.31640625,65549.203125,65505.31640625,65549.203125,3147776,True,65466.591002863155,
2024-06-20 06:35:00+00:00,65559.5,65586.53125,65559.5,65560.4375,10276864,True,65514.842148503296,
2024-06-20 06:40:00+00:00,65562.9453125,65562.9453125,65489.33984375,65489.33984375,3696640,False,,65585.95453080625
2024-06-20 06:45:00+00:00,65484.671875,65484.671875,65432.0234375,65432.0234375,0,False,,65517.896272645965
2024-06-20 06:50:00+00:00,65423.9296875,65423.9296875,65379.71875,65398.69921875,0,False,,65460.61263589321
2024-06-20 06:55:00+00:00,65424.81640625,65424.81640625,65407.18359375,65417.24609375,0,False,,65460.61263589321
2024-06-20 07:00:00+00:00,65436.90625,65473.52734375,65436.90625,65473.52734375,0,True,65399.74608432029,
